gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,charges_per_month,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_13-24,tenure_group_25-48,tenure_group_49-60,tenure_group_61-72
1,0,1,1,-0.7117434584104956,1,0,0.3374778078243394,-0.5048144831572396,0.3914956571271635,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,1,1,-0.7931549280876836,0,0,-0.8090131942822701,-0.7512134391325384,-0.6461016261351733,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
0,0,1,0,-0.2639803751859618,1,1,0.2843841579438598,-0.1736994214167345,0.2765520930980041,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
1,0,0,1,1.3642490183577978,1,1,0.48348534499565887,1.2709747139024437,0.4563085619000811,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
0,0,0,0,-1.2816237461508113,1,0,-1.497571466169742,-1.0017175808497631,-1.4935431594281015,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0.30589991255435406,1,0,-0.27641751891870747,0.03415030374133098,-0.1806832745084678,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,1.1200146093262338,1,0,0.5183280527297236,1.1177217638255048,0.5243174928791194,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0
0,0,0,0,-1.2409180113122174,1,0,-0.46390447005915153,-0.9563849147691331,-0.11293503900035995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,0.9164859351332638,1,1,0.1367174442137754,0.676710660244983,0.16303618385195898,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
1,0,0,0,-0.6710377235719016,1,0,-1.5257774676687466,-0.8669269901790279,-1.472862989859082,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0
1,0,1,1,1.6084834273893616,1,1,1.326347036848275,2.384665504670697,1.4049204734671075,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1
0,0,0,0,-0.1825689055087738,0,1,-0.9682941439237093,-0.5883012284863612,-1.0125815014514767,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,1,0,1.5677776925507676,1,1,0.7024966507526377,1.644085606254205,0.6688918787061486,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,-0.30468611002455576,1,1,-1.4842980536996218,-0.787413713402252,-1.476469611431919,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
1,0,1,1,0.7943687306174818,1,0,-1.3399496930870676,-0.42600369805822663,-1.3017266327640729,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
0,0,0,0,-0.8338606629262776,1,1,-0.5153389433808665,-0.7418615186723211,-0.4621541691225359,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1,1,-0.7931549280876836,1,0,-0.6679831867872458,-0.7648900739839826,-0.7253862146982448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0.18378270803857208,0,0,-0.6480730680820658,-0.3109487329596397,-0.7240172820598301,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
1,0,0,1,-1.1188008067964355,1,0,-1.4793205240233267,-0.956845924932665,-1.341337111400118,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,-0.2639803751859618,1,1,0.15165003324266044,-0.22008582501400878,0.14209917525388654,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,-0.10115743583158582,1,0,-1.5108448786398618,-0.756416268120969,-1.5106387662718244,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
0,0,0,0,1.4863662228735797,1,1,0.06537285218688103,0.9995494919068453,0.0465959850314906,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1,0,1,1,1.2421318138420157,1,1,0.8120023036311275,1.4472781721559735,0.7912544956227445,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
1,0,1,0,0.26519417771576004,1,1,-1.4760021709057967,-0.6635556494667001,-1.4784413330351354,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
1,0,1,0,1.1200146093262338,1,0,1.2019087949409006,1.6535253381741426,1.1973053577738642,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0
